Year,AKGD,AKMS,AZNM,CAMX,ERCT,FRCC,HIMS,HIOA,MROE,MROW,NEWE,NWPP,NYCW,NYLI,NYUP,RFCE,RFCM,RFCW,RMPA,SPNO,SPSO,SRMV,SRMW,SRSO,SRTV,SRVC
2007,1363,569,1361,740,1358,1297,1459,1756,1801,1833,883,934,748,1508,727,1127,1757,1651,2073,1913,1726,1067,1893,1591,1639,1190
2009,1359,554,1295,715,1281,1250,1463,1727,1694,1733,777,891,648,1433,529,1008,1766,1618,1984,1931,1700,1065,1862,1410,1444,1102
2010,1346,481,1264,655,1310,1272,1435,1751,1714,1635,770,905,660,1419,580,1066,1734,1600,2037,1914,1680,1094,1926,1440,1478,1142
2012,1382,524,1225,690,1228,1233,1298,1707,1671,1565,702,708,762,1316,448,942,1722,1514,1937,1889,1687,1154,1877,1260,1467,1024
2014,982,722,922,598,1207,1134,997,1568,1760,1444,605,957,700,1264,386,876,1619,1460,1833,1665,1559,1078,1875,1208,1412,906
2016,1134,531,1093,552,1064,1062,1221,1765,1755,1303,589,683,666,1239,309,796,1336,1308,1435,1486,1311,880,1695,1144,1246,846
2018,1099,554,1077,523,982,982,1177,1769,1772,1310,553,674,627,1251,266,755,1386,1231,1344,1229,1230,900,1759,1084,1089,784
2019,1181,581,1006,478,917,909,1261,1801,1590,1163,519,757,583,1281,245,734,1258,1129,1314,1133,1058,851,1677,1024,1004,714
2020,1165,566,895,543,865,883,1216,1759,1617,1039,561,636,670,1277,247,690,1221,1043,1213,1012,985,782,1570,910,884,659
2021,1121,509,859,557,853,874,1199,1724,1664,1048,568,667,855,1274,245,706,1277,1100,1218,1044,1084,810,1625,937,980,672
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
