Year,AKGD,AKMS,AZNM,CAMX,ERCT,FRCC,HIMS,HIOA,MROE,MROW,NEWE,NWPP,NYCW,NYLI,NYUP,RFCE,RFCM,RFCW,RMPA,SPNO,SPSO,SRMV,SRMW,SRSO,SRTV,SRVC
2007,1288,538,1258,684,1257,1226,1353,1629,1702,1732,834,863,706,1425,687,1065,1660,1560,1916,1808,1631,1008,1789,1504,1549,1125
2009,1284,523,1197,661,1186,1182,1357,1602,1601,1638,734,823,612,1354,500,953,1669,1529,1833,1825,1606,1006,1759,1333,1365,1042
2010,1260,450,1183,613,1223,1202,1336,1631,1620,1545,728,847,624,1341,548,1007,1638,1512,1906,1809,1588,1034,1820,1361,1397,1080
2012,1272,483,1158,653,1147,1130,1205,1585,1531,1433,643,669,698,1206,410,863,1577,1387,1832,1730,1545,1057,1720,1154,1344,938
2014,930,683,880,570,1148,1081,948,1490,1677,1376,577,913,667,1204,368,834,1543,1391,1749,1586,1485,1027,1786,1151,1345,863
2016,1077,505,1049,530,1014,1016,1159,1675,1679,1247,564,655,637,1186,296,762,1279,1251,1377,1422,1255,842,1622,1095,1193,810
2018,1045,527,1028,499,936,936,1119,1683,1690,1249,528,643,598,1193,254,720,1321,1174,1282,1172,1173,858,1677,1033,1038,748
2019,1121,551,957,455,872,865,1196,1708,1513,1106,494,720,555,1219,233,698,1197,1074,1251,1078,1007,810,1596,974,956,679
2020,1104,536,850,515,822,838,1151,1665,1536,987,533,604,636,1213,234,655,1160,991,1152,961,936,742,1491,864,839,626
2021,1074,487,823,534,817,836,1144,1646,1592,1003,544,639,818,1219,234,676,1222,1053,1166,999,1037,775,1555,896,937,643
